"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies the ability to edit a user after their registration","3970","test_edit_just_created_user","tests","Tue Dec 23 05:18:33 UTC 2025","passed","Tue Dec 23 05:18:37 UTC 2025","TestUserEdit","test_user_edit","",""
"This test check authorization status w/o sending auth cookie or token","849","test_negative_auth_check[no_cookie]","tests","Tue Dec 23 05:18:10 UTC 2025","passed","Tue Dec 23 05:18:11 UTC 2025","TestUserAuth","test_user_auth","",""
"This test verifies retrieval of another user's details after authenticating","1843","test_get_another_user_data_after_auth","tests","Tue Dec 23 05:18:54 UTC 2025","passed","Tue Dec 23 05:18:56 UTC 2025","TestUserGet","test_user_get","",""
"This test checks the inability to edit a user when unauthorized","2401","test_edit_user_unauthorized","tests","Tue Dec 23 05:18:37 UTC 2025","failed","Tue Dec 23 05:18:40 UTC 2025","TestUserEdit","test_user_edit","",""
"This test checks the inability to change user first name to a very short value","2960","test_edit_user_short_first_name","tests","Tue Dec 23 05:18:48 UTC 2025","passed","Tue Dec 23 05:18:51 UTC 2025","TestUserEdit","test_user_edit","",""
"This test verifies the retrieval of user details after authenticating as that user","1859","test_get_user_details_auth_as_same_user","tests","Tue Dec 23 05:18:52 UTC 2025","passed","Tue Dec 23 05:18:54 UTC 2025","TestUserGet","test_user_get","",""
"Final test to check if there were any identification errors for User Agents","1","test_summary","tests","Tue Dec 23 05:18:22 UTC 2025","skipped","Tue Dec 23 05:18:22 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","1049","test_create_user_without_field[firstName]","tests","Tue Dec 23 05:19:02 UTC 2025","passed","Tue Dec 23 05:19:03 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks user registration without one of the fields","1057","test_create_user_without_field[email]","tests","Tue Dec 23 05:19:01 UTC 2025","passed","Tue Dec 23 05:19:02 UTC 2025","TestUserRegister","test_user_register","",""
"This test verifies the retrieval of user details without authentication","1348","test_get_user_details_not_auth","tests","Tue Dec 23 05:18:51 UTC 2025","passed","Tue Dec 23 05:18:52 UTC 2025","TestUserGet","test_user_get","",""
"This test checks for the presence of a specific header","513","test_homework_header","tests","Tue Dec 23 05:18:14 UTC 2025","passed","Tue Dec 23 05:18:15 UTC 2025","TestUserAuth","test_user_auth","",""
"This test successfully authorize user by email and password","855","test_auth_user","tests","Tue Dec 23 05:18:08 UTC 2025","passed","Tue Dec 23 05:18:09 UTC 2025","TestUserAuth","test_user_auth","",""
"Test for checking correct User Agent identification","1553","test_user_agent_check[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.100.0-expected_values3]","tests","Tue Dec 23 05:18:19 UTC 2025","passed","Tue Dec 23 05:18:20 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks the registration of a user with an already existing email","1048","test_create_user_with_existing_email","tests","Tue Dec 23 05:18:57 UTC 2025","passed","Tue Dec 23 05:18:58 UTC 2025","TestUserRegister","test_user_register","",""
"This test verifies that user with ID 2 can't be deleted","1839","test_delete_user_2","tests","Tue Dec 23 05:18:22 UTC 2025","passed","Tue Dec 23 05:18:24 UTC 2025","TestUserDelete","test_user_delete","",""
"This test checks the inability to change user email to an invalid one","2977","test_edit_user_invalid_email","tests","Tue Dec 23 05:18:45 UTC 2025","passed","Tue Dec 23 05:18:48 UTC 2025","TestUserEdit","test_user_edit","",""
"This test checks user registration without one of the fields","1049","test_create_user_without_field[password]","tests","Tue Dec 23 05:19:00 UTC 2025","passed","Tue Dec 23 05:19:01 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks user registration without one of the fields","1050","test_create_user_without_field[username]","tests","Tue Dec 23 05:18:59 UTC 2025","passed","Tue Dec 23 05:19:00 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks user registration with an incorrect email w/o '@'","1060","test_create_user_with_invalid_email","tests","Tue Dec 23 05:18:58 UTC 2025","passed","Tue Dec 23 05:18:59 UTC 2025","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","556","test_user_agent_check[Mozilla/5.0 (iPad; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1-expected_values4]","tests","Tue Dec 23 05:18:21 UTC 2025","passed","Tue Dec 23 05:18:21 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration with a very short name","1043","test_create_user_with_short_name","tests","Tue Dec 23 05:19:04 UTC 2025","passed","Tue Dec 23 05:19:05 UTC 2025","TestUserRegister","test_user_register","",""
