"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks user registration without one of the fields","923","test_create_user_without_field[email]","tests","Fri Nov 14 05:14:30 UTC 2025","passed","Fri Nov 14 05:14:31 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks the inability to edit a user when authorized as another user","4787","test_edit_user_authorized_as_another_user","tests","Fri Nov 14 05:14:10 UTC 2025","skipped","Fri Nov 14 05:14:15 UTC 2025","TestUserEdit","test_user_edit","",""
"This test checks user registration with a very short name","922","test_create_user_with_short_name","tests","Fri Nov 14 05:14:33 UTC 2025","passed","Fri Nov 14 05:14:33 UTC 2025","TestUserRegister","test_user_register","",""
"This test verifies the retrieval of user details after authenticating as that user","1628","test_get_user_details_auth_as_same_user","tests","Fri Nov 14 05:14:22 UTC 2025","passed","Fri Nov 14 05:14:24 UTC 2025","TestUserGet","test_user_get","",""
"This test checks for the presence of a specific cookie","409","test_cookie","tests","Fri Nov 14 05:13:47 UTC 2025","passed","Fri Nov 14 05:13:48 UTC 2025","TestUserAuth","test_user_auth","",""
"This test verifies the ability to edit a user after their registration","3472","test_edit_just_created_user","tests","Fri Nov 14 05:14:05 UTC 2025","passed","Fri Nov 14 05:14:08 UTC 2025","TestUserEdit","test_user_edit","",""
"This test check authorization status w/o sending auth cookie or token","932","test_negative_auth_check[no_cookie]","tests","Fri Nov 14 05:13:44 UTC 2025","passed","Fri Nov 14 05:13:45 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","916","test_create_user_without_field[firstName]","tests","Fri Nov 14 05:14:31 UTC 2025","passed","Fri Nov 14 05:14:32 UTC 2025","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","536","test_user_agent_check[Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30-expected_values0]","tests","Fri Nov 14 05:13:49 UTC 2025","passed","Fri Nov 14 05:13:50 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks the inability to change user email to an invalid one","2722","test_edit_user_invalid_email","tests","Fri Nov 14 05:14:15 UTC 2025","passed","Fri Nov 14 05:14:18 UTC 2025","TestUserEdit","test_user_edit","",""
"This test successfully authorize user by email and password","776","test_auth_user","tests","Fri Nov 14 05:13:43 UTC 2025","passed","Fri Nov 14 05:13:44 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks for the presence of a specific header","611","test_homework_header","tests","Fri Nov 14 05:13:48 UTC 2025","passed","Fri Nov 14 05:13:49 UTC 2025","TestUserAuth","test_user_auth","",""
"Final test to check if there were any identification errors for User Agents","0","test_summary","tests","Fri Nov 14 05:13:54 UTC 2025","skipped","Fri Nov 14 05:13:54 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","923","test_create_user_without_field[password]","tests","Fri Nov 14 05:14:29 UTC 2025","passed","Fri Nov 14 05:14:30 UTC 2025","TestUserRegister","test_user_register","",""
