"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks user registration without one of the fields","1081","test_create_user_without_field[email]","tests","Tue Aug 05 05:24:32 GMT 2025","passed","Tue Aug 05 05:24:33 GMT 2025","TestUserRegister","test_user_register","",""
"This test checks user registration without one of the fields","1064","test_create_user_without_field[username]","tests","Tue Aug 05 05:24:30 GMT 2025","passed","Tue Aug 05 05:24:31 GMT 2025","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","582","test_user_agent_check[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.100.0-expected_values3]","tests","Tue Aug 05 05:23:49 GMT 2025","passed","Tue Aug 05 05:23:50 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks for the presence of a specific cookie","930","test_cookie","tests","Tue Aug 05 05:23:42 GMT 2025","passed","Tue Aug 05 05:23:43 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks the inability to edit a user when unauthorized","2370","test_edit_user_unauthorized","tests","Tue Aug 05 05:24:08 GMT 2025","failed","Tue Aug 05 05:24:10 GMT 2025","TestUserEdit","test_user_edit","",""
"This test checks for the presence of a specific header","930","test_homework_header","tests","Tue Aug 05 05:23:44 GMT 2025","passed","Tue Aug 05 05:23:45 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","1113","test_create_user_without_field[lastName]","tests","Tue Aug 05 05:24:35 GMT 2025","passed","Tue Aug 05 05:24:36 GMT 2025","TestUserRegister","test_user_register","",""
"Final test to check if there were any identification errors for User Agents","0","test_summary","tests","Tue Aug 05 05:23:52 GMT 2025","skipped","Tue Aug 05 05:23:52 GMT 2025","TestUserAuth","test_user_auth","",""
"This test successfully authorize user by email and password","1153","test_auth_user","tests","Tue Aug 05 05:23:36 GMT 2025","passed","Tue Aug 05 05:23:38 GMT 2025","TestUserAuth","test_user_auth","",""
"This test verifies that one user cannot delete another user","5360","test_delete_user_authorized_as_another_user","tests","Tue Aug 05 05:23:58 GMT 2025","passed","Tue Aug 05 05:24:03 GMT 2025","TestUserDelete","test_user_delete","",""
"Test for checking correct User Agent identification","590","test_user_agent_check[Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)-expected_values2]","tests","Tue Aug 05 05:23:48 GMT 2025","passed","Tue Aug 05 05:23:48 GMT 2025","TestUserAuth","test_user_auth","",""
"Test for checking correct User Agent identification","576","test_user_agent_check[Mozilla/5.0 (iPad; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1-expected_values4]","tests","Tue Aug 05 05:23:51 GMT 2025","passed","Tue Aug 05 05:23:51 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration with a very long name","1087","test_create_user_with_long_name","tests","Tue Aug 05 05:24:37 GMT 2025","passed","Tue Aug 05 05:24:38 GMT 2025","TestUserRegister","test_user_register","",""
"This test checks the inability to change user first name to a very short value","3061","test_edit_user_short_first_name","tests","Tue Aug 05 05:24:19 GMT 2025","passed","Tue Aug 05 05:24:22 GMT 2025","TestUserEdit","test_user_edit","",""
"This test verifies the ability to edit a user after their registration","4507","test_edit_just_created_user","tests","Tue Aug 05 05:24:03 GMT 2025","passed","Tue Aug 05 05:24:08 GMT 2025","TestUserEdit","test_user_edit","",""
"This test checks user registration with an incorrect email w/o '@'","1096","test_create_user_with_invalid_email","tests","Tue Aug 05 05:24:29 GMT 2025","passed","Tue Aug 05 05:24:30 GMT 2025","TestUserRegister","test_user_register","",""
"This test check authorization status w/o sending auth cookie or token","1111","test_negative_auth_check[no_cookie]","tests","Tue Aug 05 05:23:38 GMT 2025","passed","Tue Aug 05 05:23:39 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks the registration of a user with an already existing email","1202","test_create_user_with_existing_email","tests","Tue Aug 05 05:24:28 GMT 2025","passed","Tue Aug 05 05:24:29 GMT 2025","TestUserRegister","test_user_register","",""
"This test verifies that a user can be deleted successfully","4477","test_positive_delete_created_user","tests","Tue Aug 05 05:23:54 GMT 2025","passed","Tue Aug 05 05:23:58 GMT 2025","TestUserDelete","test_user_delete","",""
"Test for checking correct User Agent identification","569","test_user_agent_check[Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30-expected_values0]","tests","Tue Aug 05 05:23:45 GMT 2025","passed","Tue Aug 05 05:23:46 GMT 2025","TestUserAuth","test_user_auth","",""
"Test for checking correct User Agent identification","588","test_user_agent_check[Mozilla/5.0 (iPad; CPU OS 13_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/91.0.4472.77 Mobile/15E148 Safari/604.1-expected_values1]","tests","Tue Aug 05 05:23:47 GMT 2025","passed","Tue Aug 05 05:23:47 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration with a very short name","1177","test_create_user_with_short_name","tests","Tue Aug 05 05:24:36 GMT 2025","passed","Tue Aug 05 05:24:37 GMT 2025","TestUserRegister","test_user_register","",""
"This test verifies that a user can be created successfully","1132","test_create_user_successfully","tests","Tue Aug 05 05:24:27 GMT 2025","passed","Tue Aug 05 05:24:28 GMT 2025","TestUserRegister","test_user_register","",""
"This test check authorization status w/o sending auth cookie or token","1170","test_negative_auth_check[no_token]","tests","Tue Aug 05 05:23:40 GMT 2025","passed","Tue Aug 05 05:23:41 GMT 2025","TestUserAuth","test_user_auth","",""
"This test verifies retrieval of another user's details after authenticating","1870","test_get_another_user_data_after_auth","tests","Tue Aug 05 05:24:25 GMT 2025","passed","Tue Aug 05 05:24:27 GMT 2025","TestUserGet","test_user_get","",""
"This test checks the inability to change user email to an invalid one","3044","test_edit_user_invalid_email","tests","Tue Aug 05 05:24:16 GMT 2025","passed","Tue Aug 05 05:24:19 GMT 2025","TestUserEdit","test_user_edit","",""
"This test verifies the retrieval of user details without authentication","1256","test_get_user_details_not_auth","tests","Tue Aug 05 05:24:22 GMT 2025","passed","Tue Aug 05 05:24:23 GMT 2025","TestUserGet","test_user_get","",""
"This test checks user registration without one of the fields","1070","test_create_user_without_field[firstName]","tests","Tue Aug 05 05:24:33 GMT 2025","passed","Tue Aug 05 05:24:35 GMT 2025","TestUserRegister","test_user_register","",""
"This test checks user registration without one of the fields","1070","test_create_user_without_field[password]","tests","Tue Aug 05 05:24:31 GMT 2025","passed","Tue Aug 05 05:24:32 GMT 2025","TestUserRegister","test_user_register","",""
"This test checks the inability to edit a user when authorized as another user","5398","test_edit_user_authorized_as_another_user","tests","Tue Aug 05 05:24:10 GMT 2025","skipped","Tue Aug 05 05:24:16 GMT 2025","TestUserEdit","test_user_edit","",""
"This test verifies the retrieval of user details after authenticating as that user","1906","test_get_user_details_auth_as_same_user","tests","Tue Aug 05 05:24:23 GMT 2025","passed","Tue Aug 05 05:24:25 GMT 2025","TestUserGet","test_user_get","",""
"This test verifies that user with ID 2 can't be deleted","1866","test_delete_user_2","tests","Tue Aug 05 05:23:52 GMT 2025","passed","Tue Aug 05 05:23:54 GMT 2025","TestUserDelete","test_user_delete","",""
