"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks for the presence of a specific cookie","617","test_cookie","tests","Sat Dec 14 05:08:49 GMT 2024","passed","Sat Dec 14 05:08:49 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks the inability to edit a user when unauthorized","1900","test_edit_user_unauthorized","tests","Sat Dec 14 05:09:10 GMT 2024","failed","Sat Dec 14 05:09:12 GMT 2024","TestUserEdit","test_user_edit","",""
"Test for checking correct User Agent identification","709","test_user_agent_check[Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30-expected_values0]","tests","Sat Dec 14 05:08:51 GMT 2024","passed","Sat Dec 14 05:08:52 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","907","test_create_user_without_field[lastName]","tests","Sat Dec 14 05:09:32 GMT 2024","passed","Sat Dec 14 05:09:33 GMT 2024","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","395","test_user_agent_check[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.100.0-expected_values3]","tests","Sat Dec 14 05:08:54 GMT 2024","passed","Sat Dec 14 05:08:55 GMT 2024","TestUserAuth","test_user_auth","",""
"Test for checking correct User Agent identification","613","test_user_agent_check[Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)-expected_values2]","tests","Sat Dec 14 05:08:53 GMT 2024","passed","Sat Dec 14 05:08:54 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks user registration with an incorrect email w/o '@'","881","test_create_user_with_invalid_email","tests","Sat Dec 14 05:09:27 GMT 2024","passed","Sat Dec 14 05:09:28 GMT 2024","TestUserRegister","test_user_register","",""
"This test check authorization status w/o sending auth cookie or token","787","test_negative_auth_check[no_cookie]","tests","Sat Dec 14 05:08:46 GMT 2024","passed","Sat Dec 14 05:08:46 GMT 2024","TestUserAuth","test_user_auth","",""
"Test for checking correct User Agent identification","374","test_user_agent_check[Mozilla/5.0 (iPad; CPU OS 13_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/91.0.4472.77 Mobile/15E148 Safari/604.1-expected_values1]","tests","Sat Dec 14 05:08:52 GMT 2024","passed","Sat Dec 14 05:08:52 GMT 2024","TestUserAuth","test_user_auth","",""
"This test successfully authorize user by email and password","1008","test_auth_user","tests","Sat Dec 14 05:08:44 GMT 2024","passed","Sat Dec 14 05:08:45 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","907","test_create_user_without_field[email]","tests","Sat Dec 14 05:09:30 GMT 2024","passed","Sat Dec 14 05:09:31 GMT 2024","TestUserRegister","test_user_register","",""
"This test verifies retrieval of another user's details after authenticating","1462","test_get_another_user_data_after_auth","tests","Sat Dec 14 05:09:24 GMT 2024","passed","Sat Dec 14 05:09:25 GMT 2024","TestUserGet","test_user_get","",""
