"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks user registration with an incorrect email w/o '@'","962","test_create_user_with_invalid_email","tests","Mon Dec 09 05:11:15 GMT 2024","passed","Mon Dec 09 05:11:16 GMT 2024","TestUserRegister","test_user_register","",""
"This test verifies that a user can be created successfully","929","test_create_user_successfully","tests","Mon Dec 09 05:11:14 GMT 2024","passed","Mon Dec 09 05:11:14 GMT 2024","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","419","test_user_agent_check[Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)-expected_values2]","tests","Mon Dec 09 05:10:42 GMT 2024","passed","Mon Dec 09 05:10:43 GMT 2024","TestUserAuth","test_user_auth","",""
"This test verifies the retrieval of user details after authenticating as that user","1526","test_get_user_details_auth_as_same_user","tests","Mon Dec 09 05:11:11 GMT 2024","passed","Mon Dec 09 05:11:12 GMT 2024","TestUserGet","test_user_get","",""
"This test verifies that one user cannot delete another user","4472","test_delete_user_authorized_as_another_user","tests","Mon Dec 09 05:10:50 GMT 2024","passed","Mon Dec 09 05:10:54 GMT 2024","TestUserDelete","test_user_delete","",""
"Final test to check if there were any identification errors for User Agents","0","test_summary","tests","Mon Dec 09 05:10:45 GMT 2024","skipped","Mon Dec 09 05:10:45 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks for the presence of a specific cookie","703","test_cookie","tests","Mon Dec 09 05:10:38 GMT 2024","passed","Mon Dec 09 05:10:38 GMT 2024","TestUserAuth","test_user_auth","",""
"Test for checking correct User Agent identification","708","test_user_agent_check[Mozilla/5.0 (iPad; CPU OS 13_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/91.0.4472.77 Mobile/15E148 Safari/604.1-expected_values1]","tests","Mon Dec 09 05:10:41 GMT 2024","passed","Mon Dec 09 05:10:42 GMT 2024","TestUserAuth","test_user_auth","",""
"Test for checking correct User Agent identification","416","test_user_agent_check[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.100.0-expected_values3]","tests","Mon Dec 09 05:10:43 GMT 2024","passed","Mon Dec 09 05:10:44 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","958","test_create_user_without_field[firstName]","tests","Mon Dec 09 05:11:19 GMT 2024","passed","Mon Dec 09 05:11:20 GMT 2024","TestUserRegister","test_user_register","",""
"This test verifies the retrieval of user details without authentication","1094","test_get_user_details_not_auth","tests","Mon Dec 09 05:11:09 GMT 2024","passed","Mon Dec 09 05:11:11 GMT 2024","TestUserGet","test_user_get","",""
"This test checks user registration without one of the fields","954","test_create_user_without_field[email]","tests","Mon Dec 09 05:11:18 GMT 2024","passed","Mon Dec 09 05:11:19 GMT 2024","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","417","test_user_agent_check[Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30-expected_values0]","tests","Mon Dec 09 05:10:40 GMT 2024","passed","Mon Dec 09 05:10:40 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","917","test_create_user_without_field[lastName]","tests","Mon Dec 09 05:11:20 GMT 2024","passed","Mon Dec 09 05:11:21 GMT 2024","TestUserRegister","test_user_register","",""
"This test checks the inability to edit a user when unauthorized","2035","test_edit_user_unauthorized","tests","Mon Dec 09 05:10:58 GMT 2024","failed","Mon Dec 09 05:11:00 GMT 2024","TestUserEdit","test_user_edit","",""
"This test checks user registration without one of the fields","956","test_create_user_without_field[username]","tests","Mon Dec 09 05:11:16 GMT 2024","passed","Mon Dec 09 05:11:17 GMT 2024","TestUserRegister","test_user_register","",""
"This test checks the inability to change user email to an invalid one","2503","test_edit_user_invalid_email","tests","Mon Dec 09 05:11:04 GMT 2024","passed","Mon Dec 09 05:11:07 GMT 2024","TestUserEdit","test_user_edit","",""
"This test check authorization status w/o sending auth cookie or token","939","test_negative_auth_check[no_cookie]","tests","Mon Dec 09 05:10:35 GMT 2024","passed","Mon Dec 09 05:10:36 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks the inability to change user first name to a very short value","2463","test_edit_user_short_first_name","tests","Mon Dec 09 05:11:07 GMT 2024","passed","Mon Dec 09 05:11:09 GMT 2024","TestUserEdit","test_user_edit","",""
"This test checks user registration with a very long name","958","test_create_user_with_long_name","tests","Mon Dec 09 05:11:22 GMT 2024","passed","Mon Dec 09 05:11:23 GMT 2024","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","417","test_user_agent_check[Mozilla/5.0 (iPad; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1-expected_values4]","tests","Mon Dec 09 05:10:44 GMT 2024","passed","Mon Dec 09 05:10:44 GMT 2024","TestUserAuth","test_user_auth","",""
"This test verifies that user with ID 2 can't be deleted","1553","test_delete_user_2","tests","Mon Dec 09 05:10:45 GMT 2024","passed","Mon Dec 09 05:10:46 GMT 2024","TestUserDelete","test_user_delete","",""
"This test checks user registration with a very short name","958","test_create_user_with_short_name","tests","Mon Dec 09 05:11:21 GMT 2024","passed","Mon Dec 09 05:11:22 GMT 2024","TestUserRegister","test_user_register","",""
"This test verifies that a user can be deleted successfully","3593","test_positive_delete_created_user","tests","Mon Dec 09 05:10:46 GMT 2024","passed","Mon Dec 09 05:10:50 GMT 2024","TestUserDelete","test_user_delete","",""
"This test successfully authorize user by email and password","1147","test_auth_user","tests","Mon Dec 09 05:10:33 GMT 2024","passed","Mon Dec 09 05:10:34 GMT 2024","TestUserAuth","test_user_auth","",""
"This test check authorization status w/o sending auth cookie or token","1099","test_negative_auth_check[no_token]","tests","Mon Dec 09 05:10:36 GMT 2024","passed","Mon Dec 09 05:10:37 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks for the presence of a specific header","419","test_homework_header","tests","Mon Dec 09 05:10:39 GMT 2024","passed","Mon Dec 09 05:10:40 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","951","test_create_user_without_field[password]","tests","Mon Dec 09 05:11:17 GMT 2024","passed","Mon Dec 09 05:11:18 GMT 2024","TestUserRegister","test_user_register","",""
"This test verifies the ability to edit a user after their registration","3429","test_edit_just_created_user","tests","Mon Dec 09 05:10:54 GMT 2024","passed","Mon Dec 09 05:10:58 GMT 2024","TestUserEdit","test_user_edit","",""
"This test checks the inability to edit a user when authorized as another user","4549","test_edit_user_authorized_as_another_user","tests","Mon Dec 09 05:11:00 GMT 2024","skipped","Mon Dec 09 05:11:04 GMT 2024","TestUserEdit","test_user_edit","",""
"This test verifies retrieval of another user's details after authenticating","1475","test_get_another_user_data_after_auth","tests","Mon Dec 09 05:11:12 GMT 2024","passed","Mon Dec 09 05:11:14 GMT 2024","TestUserGet","test_user_get","",""
"This test checks the registration of a user with an already existing email","979","test_create_user_with_existing_email","tests","Mon Dec 09 05:11:14 GMT 2024","passed","Mon Dec 09 05:11:15 GMT 2024","TestUserRegister","test_user_register","",""
