"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks the inability to edit a user when unauthorized","2424","test_edit_user_unauthorized","tests","Wed Nov 05 05:14:24 UTC 2025","failed","Wed Nov 05 05:14:26 UTC 2025","TestUserEdit","test_user_edit","",""
"This test checks user registration with a very long name","1088","test_create_user_with_long_name","tests","Wed Nov 05 05:14:52 UTC 2025","passed","Wed Nov 05 05:14:54 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks user registration without one of the fields","1082","test_create_user_without_field[firstName]","tests","Wed Nov 05 05:14:49 UTC 2025","passed","Wed Nov 05 05:14:50 UTC 2025","TestUserRegister","test_user_register","",""
"This test checks user registration without one of the fields","1075","test_create_user_without_field[lastName]","tests","Wed Nov 05 05:14:50 UTC 2025","passed","Wed Nov 05 05:14:51 UTC 2025","TestUserRegister","test_user_register","",""
"This test check authorization status w/o sending auth cookie or token","1020","test_negative_auth_check[no_cookie]","tests","Wed Nov 05 05:13:55 UTC 2025","passed","Wed Nov 05 05:13:56 UTC 2025","TestUserAuth","test_user_auth","",""
"This test verifies retrieval of another user's details after authenticating","1908","test_get_another_user_data_after_auth","tests","Wed Nov 05 05:14:41 UTC 2025","passed","Wed Nov 05 05:14:43 UTC 2025","TestUserGet","test_user_get","",""
"This test checks the inability to change user email to an invalid one","3031","test_edit_user_invalid_email","tests","Wed Nov 05 05:14:32 UTC 2025","passed","Wed Nov 05 05:14:35 UTC 2025","TestUserEdit","test_user_edit","",""
"This test verifies that a user can be deleted successfully","4265","test_positive_delete_created_user","tests","Wed Nov 05 05:14:09 UTC 2025","passed","Wed Nov 05 05:14:14 UTC 2025","TestUserDelete","test_user_delete","",""
"This test checks user registration with a very short name","1079","test_create_user_with_short_name","tests","Wed Nov 05 05:14:51 UTC 2025","passed","Wed Nov 05 05:14:52 UTC 2025","TestUserRegister","test_user_register","",""
"This test successfully authorize user by email and password","1012","test_auth_user","tests","Wed Nov 05 05:13:53 UTC 2025","passed","Wed Nov 05 05:13:54 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","1082","test_create_user_without_field[email]","tests","Wed Nov 05 05:14:48 UTC 2025","passed","Wed Nov 05 05:14:49 UTC 2025","TestUserRegister","test_user_register","",""
"Test for checking correct User Agent identification","557","test_user_agent_check[Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)-expected_values2]","tests","Wed Nov 05 05:14:04 UTC 2025","passed","Wed Nov 05 05:14:04 UTC 2025","TestUserAuth","test_user_auth","",""
"This test verifies the ability to edit a user after their registration","4121","test_edit_just_created_user","tests","Wed Nov 05 05:14:20 UTC 2025","passed","Wed Nov 05 05:14:24 UTC 2025","TestUserEdit","test_user_edit","",""
"This test verifies that user with ID 2 can't be deleted","2466","test_delete_user_2","tests","Wed Nov 05 05:14:07 UTC 2025","passed","Wed Nov 05 05:14:09 UTC 2025","TestUserDelete","test_user_delete","",""
"Test for checking correct User Agent identification","544","test_user_agent_check[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.100.0-expected_values3]","tests","Wed Nov 05 05:14:05 UTC 2025","passed","Wed Nov 05 05:14:05 UTC 2025","TestUserAuth","test_user_auth","",""
"This test checks the registration of a user with an already existing email","1084","test_create_user_with_existing_email","tests","Wed Nov 05 05:14:44 UTC 2025","passed","Wed Nov 05 05:14:45 UTC 2025","TestUserRegister","test_user_register","",""
